symbol,chembl_id,name,selectivity_class,max_phase,ontarget_ic50_q1,ontarget_n,gene_id,reason_included,lspci_id
ABL2,CHEMBL255863,NILOTINIB,Poly-selective,4,92.2,2,27,clinical,100755
ABL2,CHEMBL1171837,PONATINIB,Semi-selective,4,30,3,27,clinical,101419
ACVR1,CHEMBL24828,VANDETANIB,Poly-selective,4,150,4,90,clinical,82962
ACVR1,CHEMBL601719,CRIZOTINIB,Poly-selective,4,370,4,90,clinical,87732
ACVR1,CHEMBL1421,DASATINIB,Other,4,485,4,90,clinical,96483
ACVR1,CHEMBL502835,NINTEDANIB,Other,4,804,2,90,clinical,97329
ACVR1,CHEMBL1287853,FEDRATINIB,Poly-selective,4,440,2,90,clinical,97675
ACVR1,CHEMBL3301622,GILTERITINIB,Unknown,4,39,1,90,clinical,101355
ACVR1B,CHEMBL2028663,DABRAFENIB,Unknown,4,601,1,91,clinical,86423
ACVR2B,CHEMBL1421,DASATINIB,Other,4,570,3,93,clinical,96483
ACVRL1,CHEMBL1421,DASATINIB,Other,4,460,2,94,clinical,96483
GRK2,CHEMBL3351077,CEFSULODIN,Unknown,4,70,1,156,clinical,92623
AKT1,CHEMBL608533,MIDOSTAURIN,Other,4,950,4,207,clinical,98595
AKT2,CHEMBL608533,MIDOSTAURIN,Other,4,780,4,208,clinical,98595
ALK,CHEMBL1789941,RUXOLITINIB,Poly-selective,4,880,3,238,clinical,66153
ALK,CHEMBL535,SUNITINIB,Poly-selective,4,170,6,238,clinical,81903
ALK,CHEMBL601719,CRIZOTINIB,Most selective,4,4.55,50,238,clinical,87732
ALK,CHEMBL288441,BOSUTINIB,Other,4,690,1,238,clinical,90932
ALK,CHEMBL3286830,LORLATINIB,Unknown,4,0.7,5,238,clinical,91467
ALK,CHEMBL1738797,ALECTINIB,Most selective,4,5.3,5,238,expert_opinion,95446
ALK,CHEMBL1287853,FEDRATINIB,Unknown,4,650,1,238,clinical,97675
ALK,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,270,3,238,clinical,98595
ALK,CHEMBL1983268,ENTRECTINIB,Most selective,4,7.65,6,238,clinical,100587
ALK,CHEMBL3545311,BRIGATINIB,Unknown,4,0.37,1,238,clinical,1436345
ARAF,CHEMBL2028663,DABRAFENIB,Unknown,4,47,1,369,clinical,86423
AXL,CHEMBL1289926,AXITINIB,Poly-selective,4,224,2,558,clinical,72090
AXL,CHEMBL535,SUNITINIB,Semi-selective,4,9,6,558,clinical,81903
AXL,CHEMBL24828,VANDETANIB,Poly-selective,4,250,4,558,clinical,82962
AXL,CHEMBL601719,CRIZOTINIB,Most selective,4,6.41,7,558,clinical,87732
AXL,CHEMBL288441,BOSUTINIB,Poly-selective,4,113,3,558,clinical,90932
AXL,CHEMBL502835,NINTEDANIB,Unknown,4,12,1,558,clinical,97329
AXL,CHEMBL1287853,FEDRATINIB,Unknown,4,160,1,558,clinical,97675
AXL,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,620,3,558,clinical,98595
AXL,CHEMBL1983268,ENTRECTINIB,Unknown,4,39.8,1,558,clinical,100587
AXL,CHEMBL3301622,GILTERITINIB,Unknown,4,1,1,558,clinical,101355
AXL,CHEMBL180022,NERATINIB,Unknown,4,190,1,558,clinical,103791
BCR,CHEMBL2105717,CABOZANTINIB,Unknown,4,342,1,613,clinical,66990
BCR,CHEMBL1289926,AXITINIB,Unknown,4,188,1,613,clinical,72090
BCR,CHEMBL24828,VANDETANIB,Unknown,4,879,1,613,clinical,82962
BCR,CHEMBL1289494,TIVOZANIB,Unknown,4,160,1,613,clinical,85818
BCR,CHEMBL402548,DANUSERTIB,Semi-selective,2,10,2,613,selectivity,86804
BCR,CHEMBL1946170,REGORAFENIB,Unknown,4,739,1,613,clinical,89597
BCR,CHEMBL288441,BOSUTINIB,Semi-selective,4,7.25,2,613,clinical,90932
BCR,CHEMBL1421,DASATINIB,Most selective,4,1.5,10,613,clinical,96483
BCR,CHEMBL502835,NINTEDANIB,Other,4,301,1,613,clinical,97329
BCR,CHEMBL255863,NILOTINIB,Most selective,4,18,6,613,clinical,100755
BCR,CHEMBL1171837,PONATINIB,Most selective,4,0.8,4,613,clinical,101419
BLK,CHEMBL553,ERLOTINIB,Poly-selective,4,190,3,640,clinical,55022
BLK,CHEMBL535,SUNITINIB,Poly-selective,4,64.5,4,640,clinical,81903
BLK,CHEMBL24828,VANDETANIB,Semi-selective,4,66,2,640,clinical,82962
BLK,CHEMBL601719,CRIZOTINIB,Poly-selective,4,370,3,640,clinical,87732
BLK,CHEMBL288441,BOSUTINIB,Unknown,4,3.3,1,640,clinical,90932
BLK,CHEMBL941,IMATINIB,Poly-selective,4,520,3,640,clinical,96316
BLK,CHEMBL502835,NINTEDANIB,Other,4,380,1,640,clinical,97329
BLK,CHEMBL1287853,FEDRATINIB,Unknown,4,650,1,640,clinical,97675
BLK,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,500,3,640,clinical,98595
BLK,CHEMBL1983268,ENTRECTINIB,Unknown,4,200,1,640,clinical,100587
BLK,CHEMBL255863,NILOTINIB,Unknown,4,500,1,640,clinical,100755
BLK,CHEMBL1173655,AFATINIB,Unknown,4,220,1,640,clinical,102013
BLK,CHEMBL180022,NERATINIB,Unknown,4,85,1,640,clinical,103791
BMPR1A,CHEMBL3301622,GILTERITINIB,Unknown,4,121,1,657,clinical,101355
BMPR1B,CHEMBL1287853,FEDRATINIB,Unknown,4,410,1,658,clinical,97675
BMPR1B,CHEMBL3301622,GILTERITINIB,Unknown,4,572,1,658,clinical,101355
BMPR2,CHEMBL535,SUNITINIB,Other,4,570,4,659,clinical,81903
BMX,CHEMBL288441,BOSUTINIB,Semi-selective,4,4.45,3,660,clinical,90932
BRAF,CHEMBL477772,PAZOPANIB,Poly-selective,4,430,5,673,clinical,81652
BRAF,CHEMBL1336,SORAFENIB,Most selective,4,22,50,673,clinical,83706
BRAF,CHEMBL2028663,DABRAFENIB,Most selective,4,0.704,7,673,clinical,86423
BRAF,CHEMBL1229517,VEMURAFENIB,Most selective,4,21,23,673,clinical,88284
BRAF,CHEMBL1946170,REGORAFENIB,Most selective,4,23.5,3,673,clinical,89597
BRAF,CHEMBL1421,DASATINIB,Other,4,500,5,673,clinical,96483
BRDT,CHEMBL1957266,(-)-JQ1,Other,0,124.75,6,676,expert_opinion,84708
BRDT,CHEMBL1287853,FEDRATINIB,Unknown,4,340,1,676,clinical,97675
BRDT,CHEMBL4173488,CF53,Semi-selective,0,2.02,2,676,selectivity,3138349
BTK,CHEMBL3936761,ZANUBRUTINIB,NA,4,0.66,3,695,clinical,89599
BTK,CHEMBL288441,BOSUTINIB,Semi-selective,4,3.65,3,695,clinical,90932
BTK,CHEMBL3707348,ACALABRUTINIB,NA,4,3.08,4,695,clinical,97152
BTK,CHEMBL3353410,OSIMERTINIB,Unknown,4,525,1,695,clinical,99860
BTK,CHEMBL180022,NERATINIB,Poly-selective,4,422,2,695,clinical,103791
DDR1,CHEMBL553,ERLOTINIB,Poly-selective,4,790,3,780,clinical,55022
DDR1,CHEMBL2105717,CABOZANTINIB,Unknown,4,209,1,780,clinical,66990
DDR1,CHEMBL477772,PAZOPANIB,Semi-selective,4,57,3,780,clinical,81652
DDR1,CHEMBL24828,VANDETANIB,Semi-selective,4,11,3,780,clinical,82962
DDR1,CHEMBL1289601,LENVATINIB,Unknown,4,46,1,780,clinical,85688
DDR1,CHEMBL1289494,TIVOZANIB,Unknown,4,190,1,780,clinical,85818
DDR1,CHEMBL1946170,REGORAFENIB,Unknown,4,358,1,780,clinical,89597
DDR1,CHEMBL1421,DASATINIB,Most selective,4,0.69,5,780,clinical,96483
DDR1,CHEMBL502835,NINTEDANIB,Semi-selective,4,14,2,780,clinical,97329
DDR1,CHEMBL255863,NILOTINIB,Most selective,4,24.7,4,780,clinical,100755
DDR1,CHEMBL1171837,PONATINIB,Unknown,4,18,1,780,clinical,101419
CAMK4,CHEMBL535,SUNITINIB,Other,4,890,4,814,clinical,81903
CAMK4,CHEMBL2403108,CERITINIB,Unknown,4,635,1,814,clinical,100141
CAMK4,CHEMBL3301622,GILTERITINIB,Unknown,4,421,1,814,clinical,101355
CAMK2A,CHEMBL1789941,RUXOLITINIB,Poly-selective,4,102,3,815,clinical,66153
CAMK2A,CHEMBL3545110,RIBOCICLIB,Other,4,238,2,815,clinical,89588
CAMK2A,CHEMBL3301610,ABEMACICLIB,Other,4,3.11,2,815,clinical,94539
CAMK2A,CHEMBL1287853,FEDRATINIB,Unknown,4,300,1,815,clinical,97675
CAMK2A,CHEMBL608533,MIDOSTAURIN,Semi-selective,4,20,3,815,selectivity,98595
CAMK2B,CHEMBL1789941,RUXOLITINIB,Unknown,4,310,1,816,clinical,66153
CAMK2B,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,210,3,816,clinical,98595
CAMK2D,CHEMBL2105759,BARICITINIB,Unknown,4,312,1,817,clinical,76528
CAMK2D,CHEMBL535,SUNITINIB,Other,4,420,6,817,clinical,81903
CAMK2D,CHEMBL3545110,RIBOCICLIB,Other,4,293,1,817,clinical,89588
CAMK2D,CHEMBL3301610,ABEMACICLIB,Other,4,19,1,817,clinical,94539
CAMK2D,CHEMBL608533,MIDOSTAURIN,Semi-selective,4,13.8,6,817,selectivity,98595
CAMK2D,CHEMBL3301622,GILTERITINIB,Unknown,4,207,1,817,clinical,101355
CAMK2G,CHEMBL2105759,BARICITINIB,Unknown,4,243,1,818,clinical,76528
CAMK2G,CHEMBL535,SUNITINIB,Other,4,628,8,818,clinical,81903
CAMK2G,CHEMBL3545110,RIBOCICLIB,Other,4,247,1,818,clinical,89588
CAMK2G,CHEMBL3301610,ABEMACICLIB,Other,4,18,1,818,clinical,94539
CAMK2G,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,140,5,818,clinical,98595
CAMK2G,CHEMBL3301622,GILTERITINIB,Unknown,4,169,1,818,clinical,101355
CDK1,CHEMBL2028663,DABRAFENIB,Unknown,4,364,1,983,clinical,86423
CDK1,CHEMBL3301610,ABEMACICLIB,Other,4,226,13,983,clinical,94539
CDK11B,CHEMBL296468,BMS-387032,Semi-selective,1,98,2,984,selectivity,70393
CDK11B,CHEMBL601719,CRIZOTINIB,Unknown,4,760,1,984,clinical,87732
CDK2,CHEMBL2028663,DABRAFENIB,Unknown,4,19,1,1017,clinical,86423
CDK2,CHEMBL3301610,ABEMACICLIB,Other,4,23,27,1017,clinical,94539
CDK4,CHEMBL2028663,DABRAFENIB,Unknown,4,126,1,1019,clinical,86423
CDK4,CHEMBL3545110,RIBOCICLIB,Unknown,4,2.9,161,1019,clinical,89588
CDK4,CHEMBL189963,PALBOCICLIB,Unknown,4,2.29,157,1019,clinical,91464
CDK4,CHEMBL189963,PALBOCICLIB,Unknown,4,2.29,157,1019,expert_opinion,91464
CDK4,CHEMBL3301610,ABEMACICLIB,Unknown,4,0.22,151,1019,clinical,94539
CDK4,CHEMBL502835,NINTEDANIB,Other,4,720,5,1019,clinical,97329
CDK4,CHEMBL3301612,ENCORAFENIB,Unknown,4,112,1,1019,clinical,98319
CDK5,CHEMBL189963,PALBOCICLIB,Other,4,316,4,1020,clinical,91464
CDK6,CHEMBL428690,ALVOCIDIB,Semi-selective,3,63.7,9,1021,selectivity,78621
CDK6,CHEMBL2028663,DABRAFENIB,Unknown,4,318,1,1021,clinical,86423
CDK6,CHEMBL3545110,RIBOCICLIB,Semi-selective,4,1.49,58,1021,clinical,89588
CDK6,CHEMBL189963,PALBOCICLIB,Semi-selective,4,0.823,55,1021,selectivity,91464
CDK6,CHEMBL189963,PALBOCICLIB,Semi-selective,4,0.823,55,1021,expert_opinion,91464
CDK6,CHEMBL3301610,ABEMACICLIB,Poly-selective,4,0.508,55,1021,clinical,94539
CDK7,CHEMBL535,SUNITINIB,Other,4,330,5,1022,clinical,81903
CDK7,CHEMBL1336,SORAFENIB,Poly-selective,4,140,5,1022,clinical,83706
CDK7,CHEMBL601719,CRIZOTINIB,Poly-selective,4,869,6,1022,clinical,87732
CDK8,CHEMBL3408213,CCT251545,Unknown,0,7.2,1,1024,expert_opinion,63941
CDK8,CHEMBL1336,SORAFENIB,Poly-selective,4,199,5,1024,clinical,83706
CDK9,CHEMBL3545110,RIBOCICLIB,Other,4,181,12,1025,clinical,89588
CDK9,CHEMBL189963,PALBOCICLIB,Other,4,242,15,1025,clinical,91464
CDK9,CHEMBL3301610,ABEMACICLIB,Other,4,8.48,14,1025,clinical,94539
CHEK1,CHEMBL535,SUNITINIB,Other,4,300,6,1111,clinical,81903
CHUK,CHEMBL535,SUNITINIB,Other,4,520,3,1147,clinical,81903
CHUK,CHEMBL1287853,FEDRATINIB,Unknown,4,830,1,1147,clinical,97675
CLK1,CHEMBL269538,HARMINE,Semi-selective,0,23.8,6,1195,selectivity,16241
CLK1,CHEMBL2105759,BARICITINIB,Unknown,4,778,1,1195,clinical,76528
CLK1,CHEMBL288441,BOSUTINIB,Other,4,599,3,1195,clinical,90932
CLK1,CHEMBL189963,PALBOCICLIB,Other,4,276,1,1195,clinical,91464
CLK1,CHEMBL3301610,ABEMACICLIB,Other,4,7,1,1195,clinical,94539
CLK1,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,350,4,1195,clinical,98595
CLK2,CHEMBL1789941,RUXOLITINIB,Poly-selective,4,460,5,1196,clinical,66153
CLK2,CHEMBL535,SUNITINIB,Poly-selective,4,20,8,1196,clinical,81903
CLK2,CHEMBL608533,MIDOSTAURIN,Other,4,860,4,1196,clinical,98595
CLK2,CHEMBL1982660,A 1070722,Semi-selective,0,100,2,1196,selectivity,1086103
CLK2,CHEMBL4062218,CC-671,Semi-selective,0,8.25,2,1196,selectivity,1641907
CLK3,CHEMBL288441,BOSUTINIB,Other,4,300,2,1198,clinical,90932
PLK3,CHEMBL1789941,RUXOLITINIB,Unknown,4,710,1,1263,clinical,66153
PLK3,CHEMBL514499,GW843682X,Semi-selective,0,8.21,2,1263,selectivity,84211
MAPK14,CHEMBL290106,BITHIONOL,Unknown,4,318,1,1432,clinical,1566
MAPK14,CHEMBL118,CELECOXIB,Other,4,810,1,1432,clinical,31369
MAPK14,CHEMBL119385,NEFLAMAPIMOD,Most selective,2,4.559,20,1432,expert_opinion,58245
MAPK14,CHEMBL1336,SORAFENIB,Semi-selective,4,72.6,12,1432,clinical,83706
MAPK14,CHEMBL1289601,LENVATINIB,Unknown,4,217,1,1432,clinical,85688
MAPK14,CHEMBL939,GEFITINIB,Poly-selective,4,501,5,1432,clinical,85883
MAPK14,CHEMBL1946170,REGORAFENIB,Unknown,4,705,1,1432,clinical,89597
MAPK14,CHEMBL1421,DASATINIB,Semi-selective,4,28.2,10,1432,clinical,96483
MAPK14,CHEMBL255863,NILOTINIB,Poly-selective,4,460,3,1432,clinical,100755
MAPK14,CHEMBL603,ZAFIRLUKAST,Unknown,4,353,1,1432,clinical,100834
MAPK14,CHEMBL1171837,PONATINIB,Unknown,4,154,1,1432,clinical,101419
MAPK14,CHEMBL787,MONTELUKAST,Unknown,4,856,1,1432,clinical,101771
MAPK14,CHEMBL506247,TANNIC ACID,Unknown,4,375,1,1432,clinical,117154
MAPK14,CHEMBL416146,ETORICOXIB,Unknown,4,530,1,1432,clinical,154927
MAPK14,CHEMBL496,HEXACHLOROPHENE,Unknown,4,87.6,1,1432,clinical,156021
MAPK14,CHEMBL24944,TRIBROMSALAN,Unknown,4,715,1,1432,clinical,169332
CSF1R,CHEMBL1289926,AXITINIB,Semi-selective,4,35.6,2,1436,clinical,72090
CSF1R,CHEMBL477772,PAZOPANIB,Most selective,4,7.9,5,1436,clinical,81652
CSF1R,CHEMBL535,SUNITINIB,Semi-selective,4,2.12,6,1436,clinical,81903
CSF1R,CHEMBL1336,SORAFENIB,Semi-selective,4,28,6,1436,clinical,83706
CSF1R,CHEMBL601719,CRIZOTINIB,Poly-selective,4,501,5,1436,clinical,87732
CSF1R,CHEMBL288441,BOSUTINIB,Other,4,380,1,1436,clinical,90932
CSF1R,CHEMBL941,IMATINIB,Most selective,4,15,3,1436,clinical,96316
CSF1R,CHEMBL1421,DASATINIB,Most selective,4,0.58,4,1436,clinical,96483
CSF1R,CHEMBL502835,NINTEDANIB,Unknown,4,48,1,1436,clinical,97329
CSF1R,CHEMBL1287853,FEDRATINIB,Unknown,4,620,1,1436,clinical,97675
CSF1R,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,330,3,1436,clinical,98595
CSF1R,CHEMBL1983268,ENTRECTINIB,Unknown,4,39.8,1,1436,clinical,100587
CSF1R,CHEMBL255863,NILOTINIB,Unknown,4,45,1,1436,clinical,100755
CSF1R,CHEMBL180022,NERATINIB,Unknown,4,670,1,1436,clinical,103791
CSK,CHEMBL2028663,DABRAFENIB,Unknown,4,851,1,1445,clinical,86423
CSK,CHEMBL1873475,IBRUTINIB,Semi-selective,4,2.2,3,1445,selectivity,89596
CSK,CHEMBL288441,BOSUTINIB,Poly-selective,4,47.5,3,1445,clinical,90932
CSK,CHEMBL1171837,PONATINIB,Unknown,4,315,1,1445,clinical,101419
CSNK1D,CHEMBL10,SB-203580,Semi-selective,0,37,5,1453,selectivity,35773
CSNK1D,CHEMBL535,SUNITINIB,Semi-selective,4,15,5,1453,selectivity,81903
CSNK1E,CHEMBL10,SB-203580,Semi-selective,0,100,3,1454,selectivity,35773
CSNK1E,CHEMBL535,SUNITINIB,Semi-selective,4,13,4,1454,clinical,81903
CSNK1E,CHEMBL939,GEFITINIB,Poly-selective,4,430,4,1454,clinical,85883
CSNK1E,CHEMBL607707,PELITINIB,Semi-selective,2,98.5,3,1454,selectivity,99732
CSNK1G2,CHEMBL2105759,BARICITINIB,Unknown,4,265,1,1455,clinical,76528
CSNK1G2,CHEMBL535,SUNITINIB,Poly-selective,4,110,5,1455,clinical,81903
CSNK1G2,CHEMBL1738797,ALECTINIB,Unknown,4,514,1,1455,clinical,95446
CSNK1G3,CHEMBL535,SUNITINIB,Other,4,240,5,1456,clinical,81903
CSNK2A1,CHEMBL6246,ELLAGIC ACID,Semi-selective,2,40,3,1457,selectivity,2373
CSNK2A1,CHEMBL58,MITOXANTRONE,Unknown,4,660,1,1457,clinical,34958
CSNK2A1,CHEMBL535,SUNITINIB,Poly-selective,4,81,4,1457,clinical,81903
CSNK2A1,CHEMBL1287853,FEDRATINIB,Unknown,4,920,1,1457,clinical,97675
CSNK2A1,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,250,3,1457,clinical,98595
CSNK2A2,CHEMBL6246,ELLAGIC ACID,Semi-selective,2,40,2,1459,selectivity,2373
CSNK2A2,CHEMBL58,MITOXANTRONE,Unknown,4,660,1,1459,clinical,34958
CSNK2A2,CHEMBL535,SUNITINIB,Other,4,318,4,1459,clinical,81903
CSNK2A2,CHEMBL189963,PALBOCICLIB,Other,4,488,1,1459,clinical,91464
CSNK2A2,CHEMBL3301610,ABEMACICLIB,Other,4,19,1,1459,clinical,94539
CSNK2A2,CHEMBL1287853,FEDRATINIB,Poly-selective,4,745,2,1459,clinical,97675
CSNK2A2,CHEMBL3301622,GILTERITINIB,Unknown,4,960,1,1459,clinical,101355
DAPK1,CHEMBL1789941,RUXOLITINIB,Unknown,4,72,1,1612,clinical,66153
DAPK1,CHEMBL535,SUNITINIB,Poly-selective,4,120,3,1612,clinical,81903
DAPK1,CHEMBL1287853,FEDRATINIB,Unknown,4,16,1,1612,clinical,97675
DAPK3,CHEMBL1789941,RUXOLITINIB,Semi-selective,4,94.5,3,1613,selectivity,66153
DAPK3,CHEMBL189963,PALBOCICLIB,Other,4,126,2,1613,clinical,91464
DAPK3,CHEMBL1287853,FEDRATINIB,Unknown,4,1.2,1,1613,clinical,97675
DMPK,CHEMBL288441,BOSUTINIB,Unknown,4,91,1,1760,clinical,90932
DYRK1A,CHEMBL269538,HARMINE,Semi-selective,0,31.5,19,1859,selectivity,16241
DYRK1A,CHEMBL1173055,RUCAPARIB,Unknown,4,501,1,1859,clinical,56436
DYRK1A,CHEMBL535,SUNITINIB,Other,4,200,4,1859,clinical,81903
DYRK1A,CHEMBL3301610,ABEMACICLIB,Other,4,204,1,1859,clinical,94539
DYRK1A,CHEMBL608533,MIDOSTAURIN,Poly-selective,4,100,3,1859,clinical,98595
EGFR,CHEMBL553,ERLOTINIB,Most selective,4,0.52,82,1956,clinical,55022
EGFR,CHEMBL24828,VANDETANIB,Most selective,4,8.9,36,1956,clinical,82962
EGFR,CHEMBL939,GEFITINIB,Most selective,4,1,119,1956,clinical,85883
EGFR,CHEMBL1873475,IBRUTINIB,Most selective,4,0.5,9,1956,clinical,89596
EGFR,CHEMBL288441,BOSUTINIB,Semi-selective,4,29.5,15,1956,clinical,90932
EGFR,CHEMBL2110732,DACOMITINIB,Most selective,4,3.4,3,1956,clinical,96019
EGFR,CHEMBL1421,DASATINIB,Poly-selective,4,120,29,1956,clinical,96483
EGFR,CHEMBL608533,MIDOSTAURIN,Other,4,895,30,1956,clinical,98595
EGFR,CHEMBL3353410,OSIMERTINIB,Most selective,4,1.3,45,1956,clinical,99860
EGFR,CHEMBL554,LAPATINIB,Most selective,4,3.6,58,1956,clinical,101558
EGFR,CHEMBL180022,NERATINIB,Most selective,4,0.64,22,1956,clinical,103791
EGFR,CHEMBL3545311,BRIGATINIB,Other,4,41.4,2,1956,clinical,1436345
EPHA2,CHEMBL2105717,CABOZANTINIB,Unknown,4,746,1,1969,clinical,66990
EPHA2,CHEMBL428,TROVAFLOXACIN,Unknown,4,398,1,1969,clinical,74091
EPHA2,CHEMBL1289494,TIVOZANIB,Unknown,4,147,1,1969,clinical,85818
EPHA2,CHEMBL402548,DANUSERTIB,Semi-selective,2,25.9,2,1969,selectivity,86804
EPHA2,CHEMBL601719,CRIZOTINIB,Poly-selective,4,126,5,1969,clinical,87732
EPHA2,CHEMBL1946170,REGORAFENIB,Unknown,4,832,1,1969,clinical,89597
EPHA2,CHEMBL288441,BOSUTINIB,Poly-selective,4,43,2,1969,clinical,90932
EPHA2,CHEMBL255863,NILOTINIB,Poly-selective,4,366,2,1969,clinical,100755
EPHA2,CHEMBL1171837,PONATINIB,Unknown,4,27,1,1969,clinical,101419
MARK2,CHEMBL2105759,BARICITINIB,Unknown,4,125,1,2011,clinical,76528
MARK2,CHEMBL535,SUNITINIB,Other,4,310,6,2011,clinical,81903
EPHA1,CHEMBL2028663,DABRAFENIB,Unknown,4,705,1,2041,clinical,86423
EPHA1,CHEMBL1946170,REGORAFENIB,Unknown,4,7,1,2041,clinical,89597
EPHA1,CHEMBL1738797,ALECTINIB,Unknown,4,193,1,2041,clinical,95446
EPHA1,CHEMBL1421,DASATINIB,Semi-selective,4,4.1,3,2041,selectivity,96483
EPHA3,CHEMBL601719,CRIZOTINIB,Unknown,4,700,1,2042,clinical,87732
EPHA3,CHEMBL288441,BOSUTINIB,Unknown,4,5.8,1,2042,clinical,90932
EPHA3,CHEMBL255863,NILOTINIB,Unknown,4,110,1,2042,clinical,100755
EPHA4,CHEMBL288441,BOSUTINIB,Semi-selective,4,28.2,2,2043,selectivity,90932
EPHA5,CHEMBL24828,VANDETANIB,Poly-selective,4,240,4,2044,clinical,82962
EPHA5,CHEMBL1289494,TIVOZANIB,Unknown,4,601,1,2044,clinical,85818
EPHA5,CHEMBL1171837,PONATINIB,Unknown,4,8,1,2044,clinical,101419
EPHA7,CHEMBL601719,CRIZOTINIB,Unknown,4,470,1,2045,clinical,87732
EPHA7,CHEMBL1230609,FORETINIB,Semi-selective,2,3.12,2,2045,selectivity,103995
EPHA8,CHEMBL553,ERLOTINIB,Poly-selective,4,940,2,2046,clinical,55022
EPHA8,CHEMBL24828,VANDETANIB,Semi-selective,4,91,3,2046,selectivity,82962
EPHA8,CHEMBL1336,SORAFENIB,Poly-selective,4,960,5,2046,clinical,83706
EPHA8,CHEMBL601719,CRIZOTINIB,Unknown,4,280,1,2046,clinical,87732
EPHA8,CHEMBL288441,BOSUTINIB,Unknown,4,9,1,2046,clinical,90932
EPHA8,CHEMBL255863,NILOTINIB,Unknown,4,37,1,2046,clinical,100755
EPHB1,CHEMBL535,SUNITINIB,Other,4,480,5,2047,clinical,81903
EPHB1,CHEMBL24828,VANDETANIB,Poly-selective,4,290,3,2047,clinical,82962
EPHB1,CHEMBL601719,CRIZOTINIB,Unknown,4,120,1,2047,clinical,87732
EPHB1,CHEMBL288441,BOSUTINIB,Unknown,4,33,1,2047,clinical,90932
EPHB1,CHEMBL502835,NINTEDANIB,Other,4,550,1,2047,clinical,97329
EPHB2,CHEMBL24828,VANDETANIB,Poly-selective,4,440,3,2048,clinical,82962
EPHB2,CHEMBL288441,BOSUTINIB,Semi-selective,4,8.45,3,2048,clinical,90932
EPHB3,CHEMBL288441,BOSUTINIB,Other,4,540,2,2049,clinical,90932
EPHB3,CHEMBL1421,DASATINIB,Semi-selective,4,6.9,3,2049,selectivity,96483
EPHB3,CHEMBL1171837,PONATINIB,Unknown,4,547,1,2049,clinical,101419
EPHB4,CHEMBL24828,VANDETANIB,Poly-selective,4,520,4,2050,clinical,82962
